"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,40563819,131203919,1,15-MAY-20,1,"N",16,5,31,"M",2,2,"R","","",31,0
2020,40563876,131204120,1,19-MAY-20,1,"N",51,5,49,"M",2,2,"R","","",49,0
2020,40563916,131204282,1,21-MAY-20,2,"N",23,5,21,"F",2,2,"R","","",21,0
2020,40563940,131200376,1,22-MAY-20,1,"N",16,5,30,"M",3,2,"R","","",30,0
2020,40563967,131204444,1,24-MAY-20,1,"N",5,5,30,"F",1,2,"N","","",30,0
2020,40564863,131200544,1,27-MAY-20,1,"N",23,5,42,"M",2,2,"R","","",42,0
2020,40564876,131200570,1,27-MAY-20,1,"N",35,5,22,"M",1,1,"R","","",22,0
2020,40564890,131200651,1,28-MAY-20,1,"N",39,5,33,"M",1,2,"R","","",33,0
2020,40564085,131200819,1,01-JUN-20,1,"N",51,5,36,"M",1,2,"R","","",36,0
2020,40564091,131205046,1,01-JUN-20,1,"N",23,5,46,"F",2,2,"R","","",46,0
2020,40564132,131205235,1,04-JUN-20,1,"N",51,5,22,"M",2,2,"R","","",22,0
2020,40564133,131205235,2,27-JUN-20,3,"N",51,5,22,"M",2,2,"R","","",22,0
2020,40564157,131205362,1,05-JUN-20,1,"N",23,5,21,"M",2,2,"R","","",21,0
2020,40564197,131206250,1,09-JUN-20,1,"N",16,5,41,"M",2,2,"R","","",41,0
2020,40564212,131206283,1,10-JUN-20,1,"N",35,5,45,"F",1,2,"R","","",45,0
2020,40565174,131207083,1,24-JUN-20,1,"N",35,5,37,"F",1,2,"R","","",37,0
2020,40564417,131211867,1,26-JUN-20,1,"N",16,5,43,"M",1,2,"R","","",43,0
2020,40564421,131207154,1,26-JUN-20,1,"N",51,5,35,"M",1,2,"R","","",35,0
2020,40565195,131207213,1,27-JUN-20,1,"N",44,5,27,"M",2,2,"R","","",27,0
2020,40564454,131212033,1,30-JUN-20,1,"N",27,5,21,"M",1,2,"N","","",21,0
2020,40564470,131207276,1,28-JUN-20,1,"N",39,5,34,"M",2,2,"R","","",34,0
2020,40564478,131212098,1,28-JUN-20,1,"N",51,5,30,"M",1,2,"R","","",30,0
2020,40565212,131212222,1,30-JUN-20,1,"N",49,5,33,"F",2,2,"R","","",33,0
2020,41267920,133636390,2,22-SEP-20,1,"N",28,5,25,"F",1,2,"U","","",25,0
2020,41267919,133636390,1,22-SEP-20,1,"N",28,5,46,"F",1,2,"U","","",46,0
2020,41542820,134492202,1,07-JAN-20,3,"N",51,5,31,"M",1,,"U","","",31,0
2020,41546758,134490292,2,28-JUL-20,2,"N",44,5,27,"M",1,1,"R","","",27,0
2020,41542673,134490292,1,28-JUL-20,2,"N",44,5,25,"M",1,2,"R","","",25,0
2020,41546759,134490292,3,28-JUL-20,2,"N",53,5,24,"M",1,2,"R","","",24,0
2020,41547032,134496411,1,17-FEB-20,3,"C",45,5,16,"M",1,,"U","R","",16,0
2020,41546939,134491071,1,24-SEP-20,3,"N",23,5,54,"M",1,2,"N","","",54,0
2020,41547040,134496436,1,21-FEB-20,3,"N",35,5,37,"M",1,,"R","","",37,0
2020,41547056,134496483,1,11-OCT-20,1,"N",51,5,34,"M",1,2,"R","","",34,0
2020,41543036,134497109,1,10-FEB-20,1,"N",2,5,29,"F",1,2,"U","","",29,0
2020,41543040,134497109,2,10-FEB-20,3,"N",2,5,45,"F",1,,"U","","",45,0
2020,41543074,134493158,1,27-DEC-20,3,"N",51,5,42,"F",1,2,"","","",42,0
2020,41543115,134497451,1,10-NOV-20,1,"N",48,5,39,"M",1,,"","","",39,0
2020,41547403,134497570,1,30-OCT-20,1,"N",23,5,32,"F",1,,"R","","",32,0
2020,41543173,134497725,1,10-NOV-20,2,"N",48,5,36,"M",1,2,"R","","",36,0
2020,41547493,134493441,1,02-NOV-20,3,"N",35,5,28,"M",1,,"N","","",28,0
2020,41543208,134497837,2,08-JUL-20,3,"N",32,5,51,"M",2,2,"R","","",51,0
2020,41547503,134497837,1,08-JUL-20,3,"N",27,5,52,"F",2,2,"R","","",52,0
2020,41547688,134498388,1,12-DEC-20,3,"N",23,5,17,"M",2,,"N","R","",17,0
2020,41547703,134498434,1,23-DEC-20,2,"N",51,5,36,"F",2,,"N","","",36,0
2020,41547751,134494210,2,10-SEP-20,2,"N",35,5,35,"F",0,,"R","","",35,0
2020,41547749,134494210,3,10-SEP-20,3,"N",16,5,30,"M",1,2,"R","","",30,0
2020,41547750,134494210,1,10-SEP-20,2,"N",35,5,40,"F",0,,"R","","",40,0
2020,41137115,133147055,1,23-DEC-20,1,"N",35,5,29,"M",1,2,"U","","",29,0
2020,41137139,133147094,1,12-AUG-20,1,"N",39,5,27,"M",1,2,"U","","",27,0
2020,41139950,133147106,1,24-AUG-20,2,"N",45,5,38,"F",1,2,"N","","",38,0
2020,41139985,133142711,1,16-SEP-20,2,"N",45,5,13,"F",1,2,"R","R","",13,0
2020,41137315,133143351,1,03-SEP-20,1,"N",16,5,53,"M",2,2,"","","",53,0
2020,41145621,133176273,1,22-MAY-20,1,"N",28,5,17,"M",2,2,"R","R","",17,0
2020,41145622,133176273,2,22-MAY-20,1,"N",28,5,16,"M",2,2,"R","R","",16,0
2020,41145625,133176280,1,28-MAY-20,3,"N",38,5,49,"M",2,2,"R","","",49,0
2020,41145626,133176280,2,28-MAY-20,3,"N",38,5,24,"F",2,2,"R","","",24,0
2020,41145627,133176286,1,23-MAY-20,1,"N",44,5,42,"M",2,2,"N","","",42,0
2020,41143324,133176410,1,25-SEP-20,2,"N",27,5,13,"M",2,2,"R","R","",13,0
2020,41143326,133176429,1,06-OCT-20,3,"N",49,5,21,"M",2,2,"R","","",21,0
2020,41145666,133176535,1,30-SEP-20,1,"N",39,5,28,"M",2,2,"R","","",28,0
2020,41145675,133176560,1,01-OCT-20,1,"N",39,5,22,"M",1,2,"R","","",22,0
2020,41143356,133176634,1,01-OCT-20,1,"N",27,5,27,"F",2,2,"R","","",27,0
2020,41143378,133176735,1,03-OCT-20,1,"N",16,5,24,"F",1,2,"R","","",24,0
2020,41145744,133172194,1,04-OCT-20,1,"N",51,5,17,"F",2,2,"R","R","",17,0
2020,41145752,133176914,1,05-OCT-20,1,"N",23,5,26,"F",1,2,"N","","",26,0
2020,41145804,133172467,1,07-OCT-20,1,"N",39,5,39,"M",2,2,"R","","",39,0
2020,41145833,133177323,1,09-OCT-20,1,"N",39,5,27,"M",2,2,"N","","",27,0
2020,41145844,133177377,1,09-OCT-20,1,"N",51,5,62,"M",1,2,"R","","",62,0
2020,41143479,133177451,1,10-OCT-20,1,"N",35,5,29,"M",1,2,"R","","",29,0
2020,41145879,133172763,1,11-OCT-20,1,"N",51,5,61,"M",1,2,"R","","",61,0
2020,41143526,133172920,1,13-OCT-20,1,"N",51,5,19,"M",2,2,"R","","",19,0
2020,41145905,133172942,1,14-OCT-20,1,"N",16,5,28,"M",1,2,"R","","",28,0
2020,41145923,133173075,1,15-OCT-20,1,"C",16,5,32,"M",1,2,"R","","",32,0
2020,41145953,133178099,1,17-OCT-20,1,"N",23,5,33,"F",1,2,"R","","",33,0
2020,41143596,133178116,1,18-OCT-20,1,"N",51,5,34,"M",2,2,"R","","",34,0
2020,41145997,133173497,1,21-OCT-20,1,"N",51,5,39,"M",2,2,"R","","",39,0
2020,41146009,133178435,1,21-OCT-20,1,"N",39,5,42,"M",2,2,"R","","",42,0
2020,41143641,133178456,1,22-OCT-20,1,"N",16,5,47,"M",1,2,"N","","",47,0
2020,41146079,133173887,1,26-OCT-20,1,"N",51,5,21,"F",2,2,"R","","",21,0
2020,41146121,133174147,1,29-OCT-20,1,"N",16,5,35,"M",2,2,"R","","",35,0
2020,41143755,133174324,1,31-OCT-20,1,"N",23,5,38,"M",1,2,"N","","",38,0
2020,41149750,133188947,1,02-DEC-20,1,"N",49,5,41,"M",1,2,"R","","",41,0
2020,41146944,133189018,1,02-DEC-20,1,"N",23,5,19,"F",2,2,"R","","",19,0
2020,41146946,133189018,2,02-DEC-20,1,"N",23,5,22,"M",2,2,"R","","",22,0
2020,41146950,133189036,1,03-DEC-20,1,"N",51,5,28,"M",2,2,"R","","",28,0
2020,41149776,133189289,1,05-DEC-20,1,"N",27,5,39,"M",2,2,"N","","",39,0
2020,41149778,133189334,1,05-DEC-20,1,"N",51,5,23,"M",1,2,"R","","",23,0
2020,41147013,133189369,1,06-DEC-20,1,"N",51,5,46,"M",2,2,"R","","",46,0
2020,41149806,133189650,1,08-DEC-20,1,"N",16,5,26,"F",1,2,"R","","",26,0
2020,41149809,133185188,1,09-DEC-20,1,"N",51,5,30,"M",2,2,"R","","",30,0
2020,41147070,133185192,1,09-DEC-20,3,"N",45,5,48,"F",1,2,"R","","",48,0
2020,41147221,133185735,1,17-DEC-20,1,"N",48,5,23,"M",2,2,"R","","",23,0
2020,41147226,133190704,2,17-DEC-20,1,"N",23,5,26,"F",1,2,"R","","",26,0
2020,41147225,133190704,1,18-DEC-20,1,"N",23,5,26,"M",1,2,"R","","",26,0
2020,41149890,133190779,2,18-DEC-20,2,"N",23,5,25,"M",2,2,"R","","",25,0
2020,41149889,133190779,1,18-DEC-20,2,"N",23,5,32,"F",2,2,"R","","",32,0
2020,41147296,133191152,1,21-DEC-20,1,"N",23,5,35,"F",1,2,"N","","",35,0
2020,41147351,133196169,1,24-DEC-20,1,"N",51,5,40,"M",2,2,"R","","",40,0
2020,41147357,133191484,1,24-DEC-20,1,"N",35,5,57,"F",1,2,"R","","",57,0
2020,41147371,133191540,1,25-DEC-20,1,"N",21,5,40,"F",1,1,"R","","",40,0
2020,41147379,133191563,1,26-DEC-20,1,"N",27,5,31,"M",2,2,"R","","",31,0
2020,41147385,133191619,1,26-DEC-20,1,"N",51,5,21,"M",2,2,"R","","",21,0
2020,41149971,133191636,1,26-DEC-20,1,"N",51,5,44,"M",1,2,"R","","",44,0
2020,41149988,133196362,1,28-DEC-20,1,"N",51,5,34,"M",1,2,"R","","",34,0
2020,41147419,133191850,1,28-DEC-20,1,"N",51,5,26,"M",1,2,"R","","",26,0
2020,41149998,133192054,1,30-DEC-20,1,"N",23,5,23,"M",1,2,"U","","",23,0
2020,41150002,133192126,1,31-DEC-20,1,"C",51,5,23,"M",2,2,"R","","",23,0
2020,41139311,133159910,1,29-NOV-20,1,"N",51,5,69,"M",2,2,"","","",69,0
2020,41139342,133155851,1,20-NOV-20,1,"N",36,5,34,"M",1,2,"","","",34,0
2020,41142197,133161801,1,29-NOV-20,1,"N",51,5,25,"F",1,,"R","","",25,0
2020,41139481,133161801,2,29-NOV-20,1,"N",51,5,24,"M",1,,"R","","",24,0
2020,41139486,133161854,1,20-DEC-20,1,"N",51,5,30,"M",1,2,"","","",30,0
2020,41144531,133166428,1,05-DEC-20,3,"C",35,5,34,"M",2,2,"R","","",34,0
2020,41142263,133166465,1,08-DEC-20,3,"C",39,5,28,"M",1,2,"N","","",28,0
2020,41144725,133167174,1,07-MAY-20,1,"N",2,5,21,"F",2,2,"R","","",21,0
2020,41144727,133167185,1,11-APR-20,1,"N",27,5,57,"M",2,2,"R","","",57,0
2020,41144728,133167195,1,11-APR-20,1,"N",49,5,17,"M",1,2,"R","R","",17,0
2020,41144729,133167196,1,11-APR-20,1,"N",51,5,24,"M",2,2,"R","","",24,0
2020,41144742,133167244,1,29-APR-20,1,"N",21,5,25,"F",1,2,"R","","",25,0
2020,41144771,133167344,1,27-APR-20,1,"N",14,5,36,"M",1,2,"R","","",36,0
2020,41142576,133163376,1,01-SEP-20,3,"N",51,5,25,"M",2,2,"R","","",25,0
2020,41142595,133167464,1,08-MAY-20,1,"N",51,5,16,"M",1,2,"R","R","",16,0
2020,41144801,133167466,1,14-MAY-20,1,"N",51,5,25,"M",2,2,"N","","",25,0
2020,41144803,133167468,1,22-MAY-20,1,"N",51,5,44,"M",1,1,"R","","",44,0
2020,41144806,133167474,1,27-MAY-20,1,"N",51,5,22,"M",1,2,"R","","",22,0
2020,41142616,133167475,1,30-MAY-20,1,"N",51,5,27,"M",1,2,"R","","",27,0
2020,41144808,133167477,1,31-MAY-20,1,"N",27,5,29,"M",1,2,"R","","",29,0
2020,41142621,133167479,1,14-JUL-20,3,"N",51,5,20,"M",2,2,"R","","",20,0
2020,41144809,133167480,1,31-MAY-20,1,"N",27,5,19,"M",2,2,"N","","",19,0
2020,41144810,133167481,1,03-JUN-20,1,"N",29,5,30,"M",2,2,"R","","",30,0
2020,41144816,133167485,1,06-JUN-20,1,"N",35,5,67,"M",1,2,"R","","",67,0
2020,41144819,133167489,1,09-SEP-20,3,"N",48,5,40,"M",2,2,"R","","",40,0
2020,41144824,133163546,1,24-SEP-20,2,"N",56,5,21,"M",1,2,"R","","",21,0
2020,41142648,133167523,1,14-SEP-20,1,"N",27,5,15,"M",2,2,"R","R","",15,0
2020,41144827,133167531,1,24-AUG-20,3,"N",51,5,26,"M",2,2,"R","","",26,0
